timw (s),Mesh1,Mesh2,Mesh3,Mesh4,Analytical
249,301.1915766,301.1149927,301.174744,301.0856828,301.1464001
250,301.2003885,301.1234618,301.1834933,301.094024,301.15503
251,301.2092114,301.1319429,301.1922539,301.1023775,301.1636715
252,301.2180453,301.1404358,301.2010255,301.1107432,301.1723244
253,301.2268899,301.1489403,301.2098081,301.1191208,301.1809885
254,301.2357451,301.1574564,301.2186014,301.1275103,301.1896637
255,301.2446108,301.1659839,301.2274054,301.1359115,301.19835
256,301.2534869,301.1745226,301.23622,301.1443243,301.207047
257,301.2623731,301.1830724,301.2450449,301.1527486,301.2157548
258,301.2712695,301.1916332,301.25388,301.1611841,301.2244731
259,301.2801757,301.2002049,301.2627253,301.1696308,301.2332018
260,301.2890918,301.2087873,301.2715805,301.1780885,301.2419409
261,301.2980176,301.2173802,301.2804456,301.1865572,301.2506901
262,301.3069529,301.2259835,301.2893204,301.1950365,301.2594493
263,301.3158976,301.2345972,301.2982048,301.2035266,301.2682184
264,301.3248517,301.2432211,301.3070986,301.2120271,301.2769974
265,301.3338149,301.251855,301.3160018,301.220538,301.2857859
266,301.3427871,301.2604989,301.3249142,301.2290592,301.294584
267,301.3517683,301.2691525,301.3338357,301.2375905,301.3033915
268,301.3607583,301.2778159,301.3427662,301.2461318,301.3122083
269,301.369757,301.2864888,301.3517055,301.2546829,301.3210342
270,301.3787642,301.2951711,301.3606536,301.2632439,301.3298692
271,301.3877799,301.3038628,301.3696102,301.2718145,301.338713
272,301.3968039,301.3125637,301.3785754,301.2803946,301.3475657
273,301.4058361,301.3212737,301.3875489,301.2889841,301.3564271
274,301.4148765,301.3299926,301.3965307,301.2975829,301.365297
275,301.4239248,301.3387204,301.4055207,301.3061908,301.3741755
276,301.432981,301.347457,301.4145187,301.3148079,301.3830622
277,301.442045,301.3562022,301.4235246,301.3234338,301.3919572
278,301.4511167,301.3649559,301.4325384,301.3320686,301.4008603
279,301.4601959,301.373718,301.4415598,301.3407122,301.4097714
280,301.4692826,301.3824884,301.4505889,301.3493643,301.4186905
281,301.4783766,301.3912671,301.4596255,301.358025,301.4276173
282,301.4874779,301.4000538,301.4686695,301.366694,301.4365519
283,301.4965863,301.4088485,301.4777208,301.3753714,301.445494
284,301.5057018,301.4176511,301.4867793,301.3840569,301.4544437
285,301.5148242,301.4264615,301.4958449,301.3927506,301.4634007
286,301.5239534,301.4352795,301.5049175,301.4014522,301.472365
287,301.5330894,301.4441052,301.513997,301.4101617,301.4813365
288,301.542232,301.4529383,301.5230833,301.418879,301.4903151
289,301.5513812,301.4617788,301.5321762,301.4276039,301.4993006
290,301.5605368,301.4706265,301.5412758,301.4363365,301.5082931
291,301.5696988,301.4794815,301.5503819,301.4450765,301.5172924
292,301.578867,301.4883436,301.5594944,301.4538239,301.5262984
293,301.5880414,301.4972126,301.5686133,301.4625786,301.535311
294,301.5972219,301.5060885,301.5777383,301.4713405,301.5443301
295,301.6064084,301.5149713,301.5868695,301.4801095,301.5533556
296,301.6156008,301.5238608,301.5960068,301.4888856,301.5623875
297,301.6247991,301.5327569,301.60515,301.4976685,301.5714256
298,301.634003,301.5416595,301.6142991,301.5064583,301.5804699
299,301.6432126,301.5505686,301.623454,301.5152548,301.5895202
300,301.6524277,301.559484,301.6326146,301.524058,301.5985765
301,301.6616483,301.5684057,301.6417808,301.5328677,301.6076387
302,301.6708743,301.5773336,301.6509525,301.5416839,301.6167068
303,301.6801056,301.5862676,301.6601297,301.5505065,301.6257805
304,301.6893421,301.5952076,301.6693122,301.5593354,301.6348599
305,301.6985837,301.6041535,301.6785001,301.5681705,301.6439449
306,301.7078304,301.6131053,301.6876931,301.5770117,301.6530353
307,301.7170821,301.6220628,301.6968912,301.585859,301.6621311
308,301.7263387,301.6310261,301.7060944,301.5947123,301.6712323
309,301.7356001,301.6399949,301.7153026,301.6035715,301.6803386
310,301.7448663,301.6489693,301.7245156,301.6124364,301.6894502
311,301.7541371,301.6579491,301.7337335,301.6213071,301.6985668
312,301.7634125,301.6669342,301.7429561,301.6301834,301.7076884
313,301.7726925,301.6759247,301.7521833,301.6390654,301.7168149
314,301.7819769,301.6849204,301.7614152,301.6479528,301.7259463
315,301.7912656,301.6939212,301.7706515,301.6568456,301.7350825
316,301.8005587,301.702927,301.7798923,301.6657437,301.7442234
317,301.809856,301.7119379,301.7891374,301.6746472,301.7533689
318,301.8191574,301.7209537,301.7983869,301.6835558,301.762519
