Time,101 (C),102 (C),103 (C),104 (C),105 (C),106 (C),107 (C),108 (C),109 (C),110 (C),111 (C),112 (C),113 (C),114 (C),115 (C),Temp,%RH
28.5,31.618125,31.614502,31.689083,31.782282,31.686133,31.640364,31.55295,31.762773,31.689333,28.721858,28.632629,27.760269,27.986581,29.459581,28.200032,27.7,20.071992
28.75,31.623323,31.633206,31.71513,31.830058,31.691325,31.673618,31.571655,31.762773,31.690372,28.772755,28.743791,27.708264,27.903517,29.233232,28.18861,27.7,20.071992
29,31.596294,31.630089,31.68179,31.794746,31.679902,31.648678,31.571655,31.734698,31.688294,28.629414,28.647173,27.630256,27.952317,29.381709,28.158496,27.6,20.169436
29.25,31.633719,31.625932,31.707837,31.81344,31.69444,31.667383,31.588282,31.77733,31.716344,28.63253,28.690807,27.658339,27.914938,29.346407,28.141882,27.6,20.169436
29.5,31.6306,31.660223,31.714088,31.835251,31.718323,31.680893,31.590361,31.77525,31.725694,28.641878,28.644056,27.652099,28.004232,29.193777,28.157458,27.6,20.284076
29.75,31.636838,31.637362,31.712005,31.818633,31.678864,31.664266,31.570616,31.770051,31.698683,28.526583,28.434199,27.6625,27.927397,29.063989,28.124229,27.6,20.284076
30,31.65867,31.66334,31.706795,31.829019,31.724554,31.716226,31.61738,31.798126,31.746472,28.742632,28.753141,27.705144,28.00527,29.03907,28.171995,27.6,20.284076
30.25,31.65763,31.659184,31.732843,31.839405,31.727669,31.704794,31.597635,31.802285,31.730889,28.660575,28.639901,27.659379,28.003193,29.051529,28.159534,27.5,20.38152
30.5,31.647234,31.650871,31.719298,31.845637,31.708978,31.688167,31.587243,31.788768,31.705955,28.497499,28.446665,27.642738,27.84641,29.162628,28.096192,27.5,20.38152
30.75,31.689858,31.6862,31.760974,31.876795,31.744283,31.734931,31.622576,31.821001,31.762056,28.68031,28.657562,27.678101,27.941934,29.125249,28.163688,27.5,20.49616
31,31.671145,31.688278,31.754723,31.8581,31.749475,31.703755,31.621537,31.8262,31.726733,28.499577,28.487183,27.694743,27.881712,29.22804,28.106576,27.5,20.6108
31.25,31.651392,31.665418,31.725549,31.847714,31.72663,31.703755,31.619458,31.805404,31.7392,28.703162,28.638862,27.67082,27.919091,29.143938,28.109691,27.5,20.6108
31.5,31.676343,31.659184,31.740136,31.871602,31.745322,31.728696,31.628811,31.82724,31.765173,28.549434,28.491338,27.67186,27.917014,29.146015,28.114883,27.5,20.72544
31.75,31.695056,31.715295,31.773477,31.88822,31.74013,31.73701,31.635046,31.8262,31.74855,28.601369,28.585878,27.682261,27.837065,29.122134,28.105538,27.5,20.72544
32,31.686739,31.685161,31.744304,31.856023,31.74013,31.722461,31.623615,31.823081,31.744395,28.500615,28.471599,27.698903,27.925321,28.89267,28.05881,27.5,20.72544
32.25,31.653472,31.67477,31.74222,31.848753,31.734938,31.714147,31.627772,31.839718,31.752706,28.595137,28.585878,27.633377,27.914938,29.035955,28.079578,27.5,20.95472
32.5,31.707531,31.706982,31.772435,31.903799,31.761936,31.764029,31.653752,31.858434,31.755822,28.623182,28.585878,27.635457,27.921168,28.872942,28.038042,27.5,21.06936
